#,Movie Name,Year of Release,Watch Time,Movie Rating,Description(synopsis),genre,showmax_url
1716,Still Waters,2023,1h 29m,5.4,"Taiwo, a car dealer, captivated by Sarah, a politician's daughter, faces heartbreak when her affection turns cold. As he struggles, a glimmer of hope emerges.",Drama,https://www.showmax.com/za/stream/movies/still-waters/3816c5df-bbb7-344c-a6d0-0c15aacb5b3e
1717,Stimulus,2022,1h 51m,6.5,It is all love and betrayal as Grace entangled with her ex and sinks in a dilemma with her fiancée just weeks to their wedding. Their unwavering love is put to the test.,Drama,https://www.showmax.com/za/stream/movies/stimulus/ffa525e2-5326-3c1f-9f41-866137d071d3
1718,Stinger,2022,1h 0m,2.6,"Aching for vengeance against her polygamous father, who consistently abuses her mother, a brilliant 19-year-old embarks on a journey to learn boxing, but her mother has other plans.",Drama,https://www.showmax.com/za/stream/movies/stinger/aa8cd79a-5fea-3f54-9ca2-612134bcc70d
1719,Stolen Daughters: Kidnapped By Boko Haram,2018,1h 15m,6.6,"In their voices, the freed female hostages detail their lives in captivity and how their lives have changed since their release. The film puts the Chibok incident in context and describes Boko Haram's activities and battle for the north.",Documentary,https://www.showmax.com/za/stream/movies/stolen-daughters-kidnapped-by-boko-haram/d3e6ca1b-71c5-3c76-a7ea-4d261d5971ca
1720,Stolen Dream,2024,1h 41m,,"After Ada is served breakfast and her ex-running away with her money, she meets Ben who suffers the same fate.",Drama,https://www.showmax.com/za/stream/movies/stolen-dream/edbfe9b7-13ee-3a7c-b121-d0459f2dc96b
1721,Stow Away,2021,1h 43m,5.7,"Modi and Rama boards a ship to France on a stow a way mission. Upon arrival, they realize they are still in Mombasa.",Drama,https://www.showmax.com/za/stream/movies/stow-away/be2223ad-4afe-3dba-b816-127842592d2b
1722,Stowaway,2021,1h 34m,5.7,"A party girl fights to survive after three thieves commandeer her luxury yacht. Trapped on the high seas, she turns the tables on the intruders and takes matters into her own hands.",Thriller,https://www.showmax.com/za/stream/movies/stowaway/6be233d8-5196-3292-bf2d-95c8ea5bcb22
1723,Straight Outta Compton,2015,2h 20m,7.8,Straight Outta Compton is a biopic that chronicles the rise of the ground-breaking gangsta-rap group N.W.A.  2015,Drama,https://www.showmax.com/za/stream/movies/straight-outta-compton/cce0d2a5-4281-3498-886b-f8f6d317c6b3
1724,Strange Hustlers,2023,1h 47m,,"Two deceitful individuals collide in this comedic drama, weaving a web of lies until reality shatters their illusions.",Drama,https://www.showmax.com/za/stream/movies/strange-hustlers/417d816e-b495-3f1f-b946-813ee634c164
1725,Strange Sisters,2022,2h 59m,,"When a mother gives birth to a set of twins with different characters, drama can never seize from her home.",Drama,https://www.showmax.com/za/stream/movies/strange-sisters/b3f1a9df-62fb-3c25-af42-372ca629c32e
1726,Strangers Again,2023,1h 41m,6.5,"Passionate about her craft, a screenwriter gets more than she bargained for when she magically slips into the life of one of her characters.",Drama,https://www.showmax.com/za/stream/movies/strangers-again/539c67b5-a078-364d-adde-eae2caa8a8a1
1727,Strays,2023,1h 29m,6.3,Will Ferrell and Jamie Foxx lead a starry voice cast in this hilarious canine comedy. An abandoned dog teams up with other stray dogs to exact revenge on the owner who abandoned him.,Comedy,https://www.showmax.com/za/stream/movies/strays/73b60e5d-6e76-3810-b8fd-a2ee59c0794d
1728,Strong Woman,2023,2h 55m,,"Gandoki promise his wife, Maggie, the whole world, this makes her love him so much that they get married. It later turn sour as Gandoki unleashes unimaginable hate on his family.",Drama,https://www.showmax.com/za/stream/movies/strong-woman/2d7756c5-4a7a-3f93-a71f-d1dbc9c758b9
1729,Strooi,2023,1h 30m,6.6,"When a farm girl has an altercation with a foreigner upon her arrival in Gauteng, she is shocked that he is also the best man at the wedding where she is the bridesmaid.",Romance,https://www.showmax.com/za/stream/movies/strooi/0913fb51-e757-3aed-b896-29263c643094
1730,Stroomop,2018,1h 42m,6.1,"A powerful South African drama. A group of women in a support group travel to the Orange River for their ""veldskool"" trip where many trials, tribulations and truths are revealed.",Drama,https://www.showmax.com/za/stream/movies/stroomop/b9c68871-93e8-32c7-b3f5-e57dc5e2a435
1731,Stuck,2022,1h 19m,6.5,A charming lady is trapped in the same house with her best friend's fiancé during Covid 19 lock down.,Drama,https://www.showmax.com/za/stream/movies/stuck/e3667679-97f0-3eb9-aa29-c58355b730b8
1732,Stuck Between Love And Hate,2023,1h 37m,5.7,Sheila loves her brother Ben so much that she can not stand him getting married to another woman.,Drama,https://www.showmax.com/za/stream/movies/stuck-between-love-and-hate/e16b30e2-ab43-33cc-8930-3df869af76ce
1733,Subterfuge,2022,1h 27m,4.1,"Dennis is fixated on his childhood crush and will do whatever it takes, even if it means breaking up her family, to win her back.",Drama,https://www.showmax.com/za/stream/movies/subterfuge/ef60d010-77d2-3a22-b213-b1577f1f8eee
1734,Success Charm,2024,1h 47m,,"Amaechi refuse to study and ask his father to create a success charm to pass his exams, but will he still pass after the charms?",Drama,https://www.showmax.com/za/stream/movies/success-charm/4be0da40-38ee-3c5a-b749-2e786ab98346
1735,Suddenly,2023,1h 15m,3.6,"A young, impoverished couple's situation worsens when the man is kidnapped, and his wife is asked to pay a huge ransom. She sets off on a perilous quest to save her husband.",Drama,https://www.showmax.com/za/stream/movies/suddenly/f33ab512-4d81-3942-aa91-4208ec10a8b4
1736,Suitcases,2023,2h 5m,,"Young, successful female barrister must confront her childhood traumas after meeting a brilliant, free-spirited paralegal who inspires her healing journey.",Drama,https://www.showmax.com/za/stream/movies/suitcases/e810c122-8614-3cec-bf91-45e8e2b93e1f
1737,Suited,2016,1h 14m,7.3,"The documentary tells the story of Bindle & Keep, a Brooklyn-based custom-suit company that is helping members of the LGBTQ community embrace their identities and look the way they feel.",Documentary,https://www.showmax.com/za/stream/movies/suited/5aec9a7b-8ffc-364a-b30e-c594d3807219
1738,Summerland,2018,1h 35m,7.0,"A heartwarming drama set during World War II. With the war raging, a writer is left to look after a young boy who slowly wins her heart after initially wanting to get rid of him. 2018",Drama,https://www.showmax.com/za/stream/movies/summerland/1cafd3b1-f384-39be-84a8-039926e1ab7c
1739,Super Greed: The Fight For Football,2022,1h 33m,7.1,"The story of how 12 of Europe's elite football clubs planned to form a breakaway 'super league', which was met with protests and condemnation and collapsed in just 48 hours.",Documentary,https://www.showmax.com/za/stream/movies/super-greed-the-fight-for-football/f7d844a7-e938-3145-8d31-f45c39e0b523
1740,Super Mario Bros.,2023,1h 28m,4.2,"An animated adventure based on the classic Mario video game franchise. With Princess Peach's help, Mario journeys through the Mushroom Kingdom to stop the all-powerful Bowser. 2023",Adventure,https://www.showmax.com/za/stream/movies/super-mario-bros./a298db1a-4bdd-322e-97e1-53b2be6f804b
1741,Supercell,2023,1h 41m,4.4,"Fans of Twister will be taken by this danger-filled storm movie. A teenage boy runs away to follow his father's footsteps, legendary storm chaser Bill Brody.",Adventure,https://www.showmax.com/za/stream/movies/supercell/4f56f11e-5d6d-3cba-809f-2aaa42ec577b
1742,Superworm,2022,25m,6.4,"Superworm is super-long and super-strong, and is always saving the day. But who can save him when he is captured by the evil Wizard Lizard? Based on the book by Julia Donaldson (The Gruffalo).",Adventure,https://www.showmax.com/za/stream/movies/superworm/bd52486d-1777-310d-8669-7f2219c0b017
1743,Sure Game,2022,1h 43m,,"It takes a lot to be married and remain married, words of a friend to another. This leads a man robbing his wife and staking some money in a bet.",Drama,https://www.showmax.com/za/stream/movies/sure-game/52a68fb5-49b3-39ca-8557-0cdc3386077d
1744,Surrogate Mum,2024,2h 55m,5.5,"Ncholo the local maid is convinced by her boss Scarlet to be a surrogate mother and is promised money after the process, Nine months after, Ncholo refuse to give back the babies.",Drama,https://www.showmax.com/za/stream/movies/surrogate-mum/099d8fea-7e70-3ea5-a319-6543d684bc56
1745,Susters,13,1h 31m,7.1,"A poignant South African film about three adopted sisters who are reunited by their mother's death. This film has laughter, crying, beautiful places and interesting characters.",Drama,https://www.showmax.com/za/stream/movies/susters/a99790c6-06c5-3e65-8a73-eaa8337561b1
1746,Swapped Fate,2023,2h 17m,,"Obsessed with climbing the social ladder, a couple arranges a marriage for their daughter, thinking it's their ticket to success. Fate has other plans in store.",Drama,https://www.showmax.com/za/stream/movies/swapped-fate/e2d04301-ee14-358a-9656-f019bca41083
1747,"Swart Draak Ontwaak, Die",2023,23m,,"An origin story set in contemporary Cape Flats gangland, a town contaminated with crime and corruption and controlled by its feared ruler and Muay Thai warrior, The Kingpin.",Drama,https://www.showmax.com/za/stream/movies/swart-draak-ontwaak-die/589083ea-c392-3f86-ab00-474ab8e357b2
1748,Sweaty Palms,2023,1h 37m,,"Kayode Umar, a talented musician, grapples with Body Integrity Identity Disorder (BIID), a condition where individuals dislike their seemingly perfect bodies.",Drama,https://www.showmax.com/za/stream/movies/sweaty-palms/7b165965-4865-3485-8c21-bcbefba8a14b
1749,Sweet Girls Club,16,2h 58m,,"A group of girls that decide to do whatever it takes to make money, they swear to use every means to get wealth.",Drama,https://www.showmax.com/za/stream/movies/sweet-girls-club/7a470720-f44b-3458-b370-3b0670f84162
1750,Sweet In D Middle,2022,2h 57m,,"A young girl pay a boys school fees when they were younger, and now he is back disguised as a servant just to get close to and help her.",Drama,https://www.showmax.com/za/stream/movies/sweet-in-d-middle/e72eff93-a9b9-37aa-aba4-979109152630
1751,Sweet Stitch,2023,1h 42m,,"Lilly is a small-time fashion designer, does all she can to meet the biggest influencer in Nigeria who can change her brand and financial fortunes forever.",Drama,https://www.showmax.com/za/stream/movies/sweet-stitch/4ddb480d-f55c-3ba4-b33e-e32ac1faf2a9
