#,Movie Name,Year of Release,Watch Time,Movie Rating,Description(synopsis),genre,showmax_url
1,10 Cloverfield Lane,2016,1h 39m,7.2,"This horror movie is driven by mystery and suspense. After being in an accident, a woman wakes up to find herself in a bunker with a man who claims to have saved her life. 2016",Thriller,https://www.showmax.com/za/stream/movies/10-cloverfield-lane/1c7136b6-39d5-34db-8196-c4eeb22e3b74
2,10 Lives,2024,1h 27m,5.9,"A charming and hilarious animation. After losing his ninth life, a pampered and selfish cat is offered a chance to make amends with nine new lives as a different creature each time.",Comedy,https://www.showmax.com/za/stream/movies/10-lives/36184947-e79d-33d9-8077-97c05725af42
3,15 Seconds,16,2h 17m,6.0,"A lady's husband does not satisfy her in bed, she tried all she could to get back to her ex. Little did she know that he was in love with her best friend.",Drama,https://www.showmax.com/za/stream/movies/15-seconds/e080b7a3-cc4b-3fb4-aad6-7a5466277d10
4,18th Pleasure Street,2014,1h 9m,,"A bright student from a humble background wins a scholarship when Madam Sonia notices him. Unknown to him she runs a ""firm"" that provides services to rich business women.",Drama,https://www.showmax.com/za/stream/movies/18th-pleasure-street/2b7ff0c1-2af7-3e76-9321-93332e404e4c
5,1917,2019,1h 53m,8.2,"A visually-gripping, Oscar-winning, Sam Mendes WWI film. Two soldiers are sent on a mission behind enemy lines to prevent the death of 1,600 men who are walking into a deadly trap.",Action,https://www.showmax.com/za/stream/movies/1917/7569e7d5-5ff4-39b7-aab2-87d42e5cff71
6,1960,2022,1h 37m,6.8,"When the remains of an apartheid-era policeman are discovered 60 years after he went missing, a retired singer revisits her past to help with the investigation.",Drama,https://www.showmax.com/za/stream/movies/1960/7c805aba-42e6-3249-9f25-4625246ba0a0
7,2 Fast 2 Furious,2003,1h 43m,5.9,Paul Walker and Tyrese Gibson join forces to bring a Miami drug lord to justice in the first sequel to the Hollywood thrill ride. Expect hot cars and plenty of action.,Action,https://www.showmax.com/za/stream/movies/2-fast-2-furious/b64994c9-69b6-327c-a9ac-1e018c51b982
8,2 Lives,2023,2h 44m,,"Chief prepares and plans his daughter Janice into a family just for his own gains, but the worst hits and tables turn as love intercepts his plans.",Drama,https://www.showmax.com/za/stream/movies/2-lives/f8b06cd6-ad5f-3df9-87a5-7809118941ad
9,21 Grams,2003,1h 59m,7.6,"Sean Penn, Benicio Del Toro and Naomi Watts deliver compelling performances in this moving, powerful drama that tells the story of three lives brought together by tragedy.",Drama,https://www.showmax.com/za/stream/movies/21-grams/2fe820a4-ce9a-32ee-af53-8bfe758bedd6
10,28th November,2022,2h 56m,,"A woman of God is sent to a far land to preach the gospel, but the powers that be will not allow her work to come alive.",Drama,https://www.showmax.com/za/stream/movies/28th-november/e562abc6-bb3d-32d0-8b69-d4f6b540e7e1
11,29,2014,1h 0m,8.2,"Terry is heartbroken and lashes out at everyone around her. She realizes that happiness doesn't come from having a husband, family or any other societal expectations.",Romance,https://www.showmax.com/za/stream/movies/29/d515f465-349a-317d-bca4-ebbd3e29caab
12,2am,2022,2h 36m,3.0,A father instructs his four children to pray at 2:00 AM every day to connect with themselves and the divine until the day Mr. William fails to uphold the ritual.,Drama,https://www.showmax.com/za/stream/movies/2am/1c70efe1-9b05-3cf1-bc8b-670779773153
13,2nd February,2022,1h 41m,,"Beulah, in a race against time to save her brother's life, finds herself compelled to yield to Rex's advances, a choice that would haunt her in the days to come.",Drama,https://www.showmax.com/za/stream/movies/2nd-february/43336232-f43e-30cd-89b8-f2275996b550
14,3 Days In Malay,2023,1h 38m,2.7,A gripping WWII action film inspired by a true story. A group of Marines must defend their airfield in Malay against the Japanese for three days. 2023,War,https://www.showmax.com/za/stream/movies/3-days-in-malay/5d239c12-d4b5-366e-b120-e48765633260
15,3 Days To Go,2019,1h 33m,6.4,An intriguing South African drama that tells the story of a group of adult siblings who are forced to return to their childhood home after the death of their father.,Drama,https://www.showmax.com/za/stream/movies/3-days-to-go/5aa952f9-c6fe-35bc-9ff1-b28e34e9913e
16,30 Minutes In Marriage,2022,2h 57m,,"After a lady shows up on her friends birthday and showers him with love, he eventually ends up with a village herbalist girl.",Drama,https://www.showmax.com/za/stream/movies/30-minutes-in-marriage/bce19530-107f-3f44-927c-76e9c4956d66
17,30 Pieces Of Silver,2022,1h 32m,,"Detective Shola knows it will be a career-high to finally pin down the ruthless drug lord, but she's tested by her absentee husband's closest friend who seeks refuge in her home.",Thriller,https://www.showmax.com/za/stream/movies/30-pieces-of-silver/6abbc2f8-ec01-3ac8-9064-71e3baeb89f0
18,34 And A Ring,2022,1h 15m,,A young bachelor is set on a mission to find his missing rib. The journey unravels the true color of his missing rib.,Drama,https://www.showmax.com/za/stream/movies/34-and-a-ring/1a37bc18-9884-3029-88c7-54e1e50ef739
19,47 Ronin,2013,1h 53m,6.2,East meets West in this epic Asian fantasy film. Matrix star Keanu Reeves leads a group of 47 warriors into battle against deadly mystical forces. 2013,Action,https://www.showmax.com/za/stream/movies/47-ronin/f1c65a9d-476d-3afe-bf14-5ea834e997e8
20,50 First Dates,2004,1h 35m,6.8,"Love is fleeting in this charming romcom with Adam Sandler and Drew Barrymore. A man meets his dream girl, but she has short-term memory loss and forgets him the very next day.",Romance,https://www.showmax.com/za/stream/movies/50-first-dates/440c9a7f-ef99-3e35-b8aa-9805452a2708
21,57 Seconds,2023,1h 39m,5.4,"A thrilling action film starring Josh Hutcherson and Morgan Freeman. When a tech blogger finds a time-altering ring, he uses it to exact revenge on an evil pharmaceutical company. 2023",Sci-Fi,https://www.showmax.com/za/stream/movies/57-seconds/a19577aa-5618-3af8-9f70-81439b1deffc
22,6 Packs,2022,2h 59m,,"Oga Joe the landlord lost his wife a long time ago, now he is in love with a tenant who is about to shatter his heart.",Drama,https://www.showmax.com/za/stream/movies/6-packs/2354bdf5-8a02-35f3-af91-8d69611430fe
23,7 Days,2021,1h 26m,6.5,"A charming COVID dramedy. Set up on a pre-arranged date by their old-fashioned Indian parents, a mismatched Ravi and Rita quarantine together as COVID-19 intensifies. 2021",Drama,https://www.showmax.com/za/stream/movies/7-days/54ff4ed7-a7bd-3db8-b446-f663f17f718c
24,7 Rules Of Marriage,2021,3h 6m,,"A man gets married to his wife only to maltreat her, little did he know that he is making the biggest mistake of his life.",Drama,https://www.showmax.com/za/stream/movies/7-rules-of-marriage/4d30f09e-1082-3566-8cc9-94691e73f250
25,80 For Brady,2023,1h 34m,5.9,"This true story-inspired film is propelled by an outstanding female cast. Four friends take a wild trip to the Super Bowl to meet Tom Brady, a renowned player in the NFL.",Comedy,https://www.showmax.com/za/stream/movies/80-for-brady/0b32740c-cc22-3390-ad17-294193444e4b
26,A Boere-Krismis,2020,1h 26m,5.5,"A chaotic South African Christmas comedy. In Claire's final attempt at becoming an actress-director-writer, she uses her fiancé's family in a docu-film to launch her failed career.",Drama,https://www.showmax.com/za/stream/movies/a-boere-krismis/f5f438fb-2d0e-3135-b202-edfe5d085a1c
27,A Chance To Love,2023,2h 44m,7.4,"Jason will do anything to have Nuella as his wife, but his actions and attitude will make her run away forever.",Drama,https://www.showmax.com/za/stream/movies/a-chance-to-love/12b91319-ea1e-394a-a05f-75cf407d29d0
28,A Day To Die,2022,1h 45m,3.5,The high-octane action thriller places Kevin Dillon in a desperate race against time. An ex-military ops officer has one day to raise $2 million to save his kidnapped wife.,Action,https://www.showmax.com/za/stream/movies/a-day-to-die/aaa2769b-f76c-3a8c-87c4-b3de70365ae4
29,A Dog's Journey,2019,1h 44m,7.4,"A magical canine story. A dog finds its purpose as it lives many lives through its bonds with a family, first with a young boy and then eventually with the boy's granddaughter.",Drama,https://www.showmax.com/za/stream/movies/a-dogs-journey/27d56bb4-4663-3288-abc2-14fc6efe7593
30,A Dog's Way Home,2019,1h 31m,6.7,A great cast drives this doggy adventure. A courageous dog travels hundreds of miles through the Colorado wilderness in search of it's owner.,Drama,https://www.showmax.com/za/stream/movies/a-dogs-way-home/7223e817-c06d-3aa1-9631-a8c2e2c1184e
31,A Familiar Christmas,2022,1h 46m,,"For the first time in three years, the Moran family is spending Christmas together, but secrets and a meddling mother turn the holiday into chaos.",Drama,https://www.showmax.com/za/stream/movies/a-familiar-christmas/521c226b-5efb-3b42-8aa8-6be4a68a2d1e
32,A Father's Sacrifice,2022,2h 49m,,"Sam's devotion to his daughter knows no bounds after losing his wife. However, tragedy strikes, stripping him of everything.",Drama,https://www.showmax.com/za/stream/movies/a-fathers-sacrifice/d973a8d6-44c9-3c95-add4-7532a18896dd
33,A Good Person,2023,2h 8m,7.1,Florence Pugh and Morgan Freeman star in this poignant drama about a young woman whose life spirals after an awful incident. She finds comfort and strength in an unexpected relationship.,Drama,https://www.showmax.com/za/stream/movies/a-good-person/9da2a6e5-66e8-3cdc-83cb-7240b4279d76
34,A Heart To Love,2023,1h 54m,,Daniel is caught in a love triangle between his materialistic ex-girlfriend and his intellectual new staff.,Romance,https://www.showmax.com/za/stream/movies/a-heart-to-love/fb670b68-6f1f-3c1e-b88d-a34add28b747
35,A Killer Romance,2023,1h 36m,6.4,"If you like Mr. & Mrs. Smith, you'll enjoy this action romance. A secret serial killer discovers that her husband is a contract killer, thus pitting them against each other. 2023",Thriller,https://www.showmax.com/za/stream/movies/a-killer-romance/dd21f727-caef-3334-905e-fd1a197dc5d0
36,A League Of Their Own,1992,2h 2m,7.3,"Geena Davis, Lori Petty and Tom Hanks run this movie. When the male baseball players go fight in World War II, two sisters join a team in the first all-women baseball league. 1992",Drama,https://www.showmax.com/za/stream/movies/a-league-of-their-own/73fc896c-a08b-35db-b980-6e9ea2cbfbc2
37,A Life Like Hers,2023,2h 20m,8.1,"Dora and her daughter endure a life of loneliness and poverty until they cross paths with George, whose presence promised to change their fortunes.",Drama,https://www.showmax.com/za/stream/movies/a-life-like-hers/6a584c57-5545-3ab4-9bd2-f9f9d4200385
38,A Million Days,2023,1h 23m,4.2,"A gripping sci-fi thriller. It's 2041, Earth is in ecological collapse, and humanity's survival rests on settling new worlds. But the mission's AI assistant has a secret agenda.",Sci-Fi,https://www.showmax.com/za/stream/movies/a-million-days/98dc8a49-ecdd-3927-95d2-b2460b0fe40f
39,A Mother'S Bond,2023,1h 27m,,"A single mother finds love again with a successful business man, he accepts her son, but while the union gets stronger the whole story changes.",Drama,https://www.showmax.com/za/stream/movies/a-mothers-bond/0a2771eb-27e6-3ae7-8602-294052ebc7b7
40,A Mother'S Love,2023,2h 34m,8.1,Caro is in an abusive relationship with Tompolo and refuse to leave the marriage. All hell broke loose when Tompolo attempts to sell their only daughter.,Drama,https://www.showmax.com/za/stream/movies/a-mothers-love/1508c92b-5d5e-31ca-82b8-687400d38839
41,A Mother'S Sin,2023,1h 34m,,"When Dorian's 16-year-old daughter, Princess, disappears, she's devastated. A year later, Princess's body is found with a note revealing a hidden grandson and the kidnapper's identity.",Thriller,https://www.showmax.com/za/stream/movies/a-mothers-sin/fb58744f-66b0-3161-b8b6-17e432745c05
42,A Mother's Tale,2022,2h 16m,,"Raymond, once full of life, now struggles with despair and hopelessness after being confined to a wheelchair, contemplating the end of his life.",Drama,https://www.showmax.com/za/stream/movies/a-mothers-tale/e81eef17-c276-3d1b-9776-f0f0942883bd
43,A Nice Girl Like You,16,1h 30m,5.2,"This rom-com, starring Lucy Hale, was inspired by a best-selling book. When Lucy's ex accuses her of being too inhibited, she sets out a racy to-do list to prove him wrong.",Comedy,https://www.showmax.com/za/stream/movies/a-nice-girl-like-you/48a4a722-efc7-3cac-bfbe-e2fa00cc9cee
44,A Strong Decision,2022,2h 4m,,"After several disappointments, Obinna finally finds a rich lady who believes in his dreams and ready to sponsor him, but things takes a different turn and everything changes.",Drama,https://www.showmax.com/za/stream/movies/a-strong-decision/d1fa485c-2de2-3e70-9c63-252137fc1c39
45,A Thorn In My Flesh,2023,1h 38m,,"A beautiful young couple go through the scariest moments of their lives, because of one silly mistake, only fate will deliver them from the dilemma.",Drama,https://www.showmax.com/za/stream/movies/a-thorn-in-my-flesh/f4a4afe4-16f5-3a94-9f33-35163913ddc7
46,A Week In Paradise,2022,1h 39m,4.3,"A romantic film about a heartbroken actress who escapes to the Caribbean after a failed marriage. She meets a new love during her stay, but her past returns, complicating matters.",Drama,https://www.showmax.com/za/stream/movies/a-week-in-paradise/8d2c2647-74f3-3197-8f9a-dbf9d8524a2b
47,A White Christmas 2,13,1h 19m,4.9,"In this hilarious festive stand-up comedy, Mojak Lehoko, Schalk Bezuidenhout, Glen Biderman-Pam and Robby Collins joke about everything Christmas.",Comedy,https://www.showmax.com/za/stream/movies/a-white-christmas-2/e6d7d56c-0141-3095-ad1e-9ebd3817498c
48,A Zulu Christmas,,1h 26m,,A Christmas special. Authentic African story telling at its best.,Family,https://www.showmax.com/za/stream/movies/a-zulu-christmas/b4936257-a60d-36ab-a26e-034908fc1bbf
49,Aan/Af,13,17m,,"An Afrikaans-speaking man helps his elderly German neighbour in a time of need, despite a language barrier. In the process, he learns volumes about himself.",Drama,https://www.showmax.com/za/stream/movies/aanaf/7bc802a4-9d03-3683-a91b-12cefbe109dc
50,Aangetroud,13,46m,,"When Lisa marries the love of her life, Albert, she quickly realises that her in-laws are not as enamoured with her as he is. Maybe a colourful holiday will change their minds.",Drama,https://www.showmax.com/za/stream/movies/aangetroud/db316ba4-cba2-385e-bc47-e80112f2355d
51,Abo Chomee,2016,53m,,A light-hearted crime drama about a clique of swindlers running a seemingly well-organised syndicate that is put at risk when one of them develops feelings for the target.,Drama,https://www.showmax.com/za/stream/movies/abo-chomee/98c6cf1b-0891-3823-854a-b7bfe9f112b5
52,Abominable,2019,1h 33m,7.0,"An exciting animated adventure. An encounter with a Yeti, targeted by a rich man, sets teenage Yi and her two friends on an adventure to return the magical creature to his home. 2019",Adventure,https://www.showmax.com/za/stream/movies/abominable/fb7d0943-5045-3542-bf70-3b5fdc3da7fd
53,Abomkhulu,2023,1h 30m,,"After a crime committed for SA's liberation struggle 30 years ago, three childhood friends are set free. They embark on a journey of self-discovery while facing their new realities.",Drama,https://www.showmax.com/za/stream/movies/abomkhulu/095dc261-b6ab-3a86-8bf7-25baba914085
54,Abortion : Stories Women Tell,2016,1h 28m,7.2,"A riveting, poignant and important documentary that gives women a voice and opens up the discussion regarding pregnancy and the choices that come with it.",Documentary,https://www.showmax.com/za/stream/movies/abortion--stories-women-tell/5b442981-4207-343a-b744-54abd6391c66
55,Abosode,2022,1h 20m,,"A local Nigerian girl and a well - bred Caucasian American work together to fuse their different cultures, for the sake of love.",Comedy,https://www.showmax.com/za/stream/movies/abosode/ec391935-0251-3a4a-b7d8-ad91109ff8bc
56,About Last Night,2014,1h 36m,6.3,Comic genius Kevin Hart and Hollywood heartthrob Michael Ealy star in this chaotic comedy about two best friends battling to find and keep meaningful relationships.,Comedy,https://www.showmax.com/za/stream/movies/about-last-night/36d28c3d-124a-3479-8c51-2b1c1772483d
